EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
13,5.7,3.3,0.3,0.3,0.3,50.2,70.1,50.2,106,101,-2.3,-4.8
24.6,24.6,11.2,3.6,2.6,0.9,55.9,72.1,55.9,99,115,86,5.8
15.4,14.6,1.9,3.5,0.1,0.8,44.2,90.5,47.2,111,106,-0.7,-2.2
11.4,7.8,3.3,1.1,0.4,0.8,41.7,70.3,42.2,105,95,-1.5,-3.2
19,18.1,7.5,2.5,0.8,1,47.2,81,47.9,107,108,21.1,0.9
12.9,5.6,3.2,1.2,0.2,0.6,49.2,74.7,49.2,103,114,2.5,-0.2
8.9,5.4,1.4,0.5,0.1,0.5,38.7,88,52.6,110,112,-0.3,-2.4
8.5,2.7,1,0.5,0.1,0.2,37,50,41.3,112,88,-0.3,-6.9
9,3.6,4.1,0.5,0.3,0.4,50.6,66.5,50.9,111,113,0,-2
11.4,5,3.5,0.6,0.4,0.4,44.7,76.1,51.7,109,109,0.4,-1.7
18.3,14.1,7,4.1,0.8,1.3,49.8,78.8,49.8,100,105,39.3,3.7
10.7,8.8,5.6,1.9,0.2,1.1,40.2,74.1,40.2,99,98,0.3,-1.8
14,7.7,4.1,1.5,0.4,0.6,49.7,79.4,49.9,107,103,0.8,-0.9
11.8,2.5,1.2,0.2,0.1,0.2,53.4,64.3,53.4,108,104,-0.3,-4.4
13.1,3.2,0.9,0.6,0.2,0.6,40.2,60.7,45.7,100,95,0.1,-0.5
16.6,14.7,2.9,6.4,0.1,1.7,41.5,84.9,47.5,110,112,18,1.5
16.7,9.3,7.2,0.9,1,0.8,58.7,56.5,58.7,105,118,10.1,1.7
10.5,5.8,2.1,0.9,0.2,0.4,44.9,77.2,46.6,112,102,-3,-4.1
16.1,7.1,6,1.6,0.7,0.5,51.5,71.5,51.6,105,116,1.5,0.9
15,4.6,4.3,0.7,0.5,0.3,47.4,62.8,47.4,108,109,-0.3,-2.5
11.9,10.8,2.9,1.8,0.2,0.4,45,82.5,51.4,112,109,4.5,-1.1
2.8,2.1,0.6,0.2,0.1,0.1,33.9,56.6,36.8,111,79,-1.1,-10.4
19,20,5,3.1,0.3,0.7,48.4,74.1,49.8,110,109,22.7,1.3
7.2,4.6,1.2,1.2,0,0.4,27.3,97,36.4,111,89,-0.3,-6.6
14.7,11.5,2.7,4,0.1,1.1,46.9,84.6,51.9,108,114,23,1.3
14.9,5.3,3.9,0.5,0.6,0.3,50.3,79.7,50.7,106,104,-0.5,-2.5
8.6,1,0.6,0.9,0,0.3,30,50,30,102,83,0,-2.9
10.3,1.5,2.3,0.2,0.4,0.2,31.4,70,31.4,103,85,-0.2,-5.4
13,7.5,3.4,1.1,0.3,0.4,47.5,77.5,48.3,110,106,-0.3,-2.2
12,2.3,4.3,0.7,0.4,0.4,51.3,48.1,51.3,104,117,0.2,-0.7
16.6,3.1,3.3,0.5,0.7,0.4,52.7,73.8,52.7,101,109,2.6,1
20.7,19.4,8.3,1.9,1.1,0.7,48.9,80.7,49.3,106,112,26.2,1.3
