Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,FG%,FT%,3P%,EF%,EFF,Win_Shares
Alaa Abdelnaby,4,0,0,0,0,0,0,0,0,0,256,5.7,3.3,0.3,0.3,0.3,0.0,50.2,70.1,0.0,50.2,13.0,4.8
Zaid Abdul-Aziz,5,0,0,0,0,0,0,0,0,0,505,9.0,8.0,1.2,1.0,0.6,-,42.8,72.8,-,-,15.1,17.5
Kareem Abdul-Jabbar,5,0,1,19,15,11,2,0,1,6,1560,24.6,11.2,3.6,2.6,0.9,0.0,55.9,72.1,5.6,55.9,24.6,273.4
Mahmoud Abdul-Rauf,1,0,0,0,0,0,0,0,0,0,586,14.6,1.9,3.5,0.1,0.8,0.8,44.2,90.5,35.4,47.2,15.4,25.2
Tariq Abdul-Wahad,2,0,0,0,0,0,0,0,0,0,236,7.8,3.3,1.1,0.4,0.8,0.1,41.7,70.3,23.7,42.2,11.4,3.5
Shareef Abdur-Rahim,4,0,0,1,0,0,0,0,0,0,830,18.1,7.5,2.5,0.8,1.0,0.2,47.2,81.0,29.7,47.9,19.0,71.2
Tom Abernethy,3,0,0,0,0,0,0,0,0,0,319,5.6,3.2,1.2,0.2,0.6,0.0,49.2,74.7,0.0,49.2,12.9,13.4
Forest Able,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,-,-,-,0.0,-,-,-,-41.1,0.0
John Abramovic,0,0,0,0,0,0,0,0,0,56,9.5,-,0.7,-,-,-,23.7,68.6,-,-,-,-1.9
Alex Abrines,2,1,0,0,0,0,0,0,0,0,166,5.3,1.4,0.5,0.1,0.5,1.3,38.5,87.5,36.8,52.3,8.9,4.9
Alex Acker,2,0,0,0,0,0,0,0,0,0,30,2.7,1.0,0.5,0.1,0.2,0.3,37.0,50.0,32.0,41.3,8.5,-0.2
Don Ackerman,1,0,0,0,0,0,0,0,0,0,28,1.5,0.5,0.8,-,-,-,22.2,53.6,-,-,1.0,-0.6
Mark Acres,5,0,0,0,0,0,0,0,0,0,375,3.6,4.1,0.5,0.3,0.4,0.0,50.6,66.5,53.8,50.9,9.0,9.3
Bud Acton,3,0,0,0,0,0,0,0,0,0,23,3.3,2.0,0.5,-,-,-,39.2,65.5,-,-,9.5,0.1
Quincy Acy,3,0,0,0,0,0,0,0,0,0,327,5.0,3.5,0.6,0.4,0.4,0.6,44.7,76.1,35.6,51.7,11.4,8.8
Alvan Adams,4,0,0,1,0,0,0,0,0,0,988,14.1,7.0,4.1,0.8,1.3,0.0,49.8,78.8,13.3,49.8,18.3,73.5
Don Adams,3,0,0,0,0,0,0,0,0,0,523,8.8,5.6,1.9,0.2,1.1,0.0,40.2,74.1,0.0,40.2,10.7,11.7
George Adams,3,0,0,0,0,0,0,0,0,0,215,7.7,4.1,1.5,0.4,0.6,0.0,49.7,79.4,23.5,49.9,14.0,6.6
Hassan Adams,2,0,0,0,0,0,0,0,0,0,73,2.5,1.2,0.2,0.1,0.2,0.0,53.4,64.3,0.0,53.4,11.8,0.8
Jaylen Adams,1,1,0,0,0,0,0,0,0,0,6,0.5,0.5,0.3,0.2,0.0,0.2,20.0,-,25.0,30.0,5.1,0.0
Jordan Adams,2,0,0,0,0,0,0,0,0,0,32,3.2,0.9,0.6,0.2,0.6,0.3,40.2,60.7,38.5,45.7,13.1,0.4
Michael Adams,1,0,0,1,0,0,0,0,0,0,653,14.7,2.9,6.4,0.1,1.7,1.5,41.5,84.9,33.2,47.5,16.6,46.9
Steven Adams,5,1,0,0,0,0,0,0,0,0,412,9.2,7.1,0.9,1.0,0.8,0.0,58.7,56.7,0.0,58.7,16.6,33.2
Rafael Addison,3,0,0,0,0,0,0,0,0,0,379,5.8,2.1,0.9,0.2,0.4,0.2,44.9,77.2,28.2,46.6,10.5,4.9
Bam Adebayo,5,1,0,0,0,0,0,0,0,0,96,7.3,6.0,1.5,0.7,0.5,0.0,52.2,71.6,0.0,52.2,16.6,6.2
Rick Adelman,1,0,0,0,0,0,0,0,0,0,462,7.7,2.4,3.5,0.1,0.9,-,41.5,71.3,-,-,11.3,10.0
Jeff Adrien,4,0,0,0,0,0,0,0,0,0,153,4.6,4.3,0.7,0.5,0.3,0.0,47.4,62.8,0.0,47.4,15.0,4.4
Arron Afflalo,3,0,0,0,0,0,0,0,0,0,762,10.8,2.9,1.8,0.2,0.4,1.1,45.0,82.5,38.6,51.4,11.9,33.5
Maurice Ager,2,0,0,0,0,0,0,0,0,0,82,2.1,0.6,0.2,0.1,0.1,0.1,33.9,56.6,25.0,36.8,2.8,-0.9
Mark Aguirre,3,0,0,3,0,0,0,0,0,0,923,20.0,5.0,3.1,0.3,0.7,0.4,48.4,74.1,31.2,49.8,19.0,67.8
Blake Ahearn,1,0,0,0,0,0,0,0,0,0,19,4.6,1.2,1.2,0.0,0.4,0.7,27.3,97.0,29.8,36.4,7.2,-0.2
Danny Ainge,2,0,0,1,0,0,0,0,0,0,1042,11.5,2.7,4.0,0.1,1.1,1.0,46.9,84.6,37.8,51.9,14.7,71.5
Matthew Aitch,4,0,0,0,0,0,0,0,0,0,45,5.6,3.6,0.4,-,-,0.0,40.5,67.5,0.0,40.5,11.9,0.5
Alexis Ajinca,4,0,0,0,0,0,0,0,0,0,293,5.3,3.9,0.5,0.6,0.3,0.0,50.3,79.7,28.6,50.7,14.9,7.5
Henry Akin,4,0,0,0,0,0,0,0,0,0,88,3.5,2.1,0.5,-,-,0.0,35.0,67.6,0.0,35.0,7.4,-1.2
Josh Akognon,1,0,0,0,0,0,0,0,0,0,3,1.7,0.3,0.3,0.0,0.0,0.3,50.0,-,50.0,62.5,15.3,0.0
DeVaughn Akoon-Purcell,2,1,0,0,0,0,0,0,0,0,6,1.2,0.7,1.0,0.0,0.3,0.0,30.0,50.0,0.0,30.0,11.5,0.0
Solomon Alabi,5,0,0,0,0,0,0,0,0,0,26,1.5,2.3,0.2,0.4,0.2,0.0,31.4,70.0,-,31.4,10.3,0.0
Mark Alarie,4,0,0,0,0,0,0,0,0,0,325,7.5,3.4,1.1,0.3,0.4,0.1,47.5,77.5,25.2,48.3,13.0,8.4
Gary Alcorn,5,0,0,0,0,0,0,0,0,0,78,3.3,4.2,0.3,-,-,-,29.3,59.8,-,-,6.5,-1.3
